group,md5,kb,sources,action,source,path
69,7a39adeb7c,1704,ace+thsc,dup,ace,Modern History/ACE-Yearly/2012 P MH - Cranbrook - Prelim Yearly Exam Paper (no solutions).pdf
70,47db709f07,1691,ace+thsc,KEEP,thsc,Chemistry/Y11-Yearly/Baulkham Hills 2009 w. sol.pdf
70,47db709f07,1691,ace+thsc,dup,ace,Chemistry/ACE-Yearly/2009 P CHEM - Baulkham Hills - Prelim Yearly Exam Paper.pdf
71,a99d9430d4,1686,ace+thsc,KEEP,thsc,Agriculture/Y12-Trial/Hurlstone 2012 w. sol.pdf
71,a99d9430d4,1686,ace+thsc,dup,ace,Agriculture/ACE-Trial/Hurlstone-2012-Agriculture-Trials-&-Solutions.pdf
72,01dc2e7253,1678,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Manly 2017 w. sol.pdf
72,01dc2e7253,1678,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2017-4U-Manly-Trials-with-Solutions.pdf
73,51a79cc945,1654,ace+thsc,KEEP,thsc,Maths Extension 1/Y12-Trial/Sydney Grammar 2018 w. sol.pdf
73,51a79cc945,1654,ace+thsc,dup,ace,Maths Extension 1/ACE-Trial/2018-3U-Sydney-Grammar-Trials-with-Solutions.pdf
74,6d8ddd6eef,1646,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Killara 2018 w. sol.pdf
74,6d8ddd6eef,1646,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2018-4U-Killara-Trials-with-Solutions.pdf
75,373157c2ae,1642,ace+thsc,KEEP,thsc,Maths Extension 1/Y11-Yearly/Pymble 2017 w. sol.pdf
75,373157c2ae,1642,ace+thsc,dup,ace,Maths Extension 1/ACE-Yearly/2017 P 3U - Pymble - Prelim Yearly Exam Paper.pdf
76,6aadc9c7b4,1631,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Killara 2016 w. sol.pdf
76,6aadc9c7b4,1631,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2016_4U_-_Killara_Trial_with_solutions.pdf
77,0348f55f52,1616,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Manly 2017 w. sol.pdf
77,0348f55f52,1616,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2017-2U-Manly-Trials-with-Solutions.pdf
78,1b5ed3aed5,1613,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Frensham 2011 w. sol.pdf
78,1b5ed3aed5,1613,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2011 4U - Frensham Trial with Solutions.pdf
79,0b61b7495d,1611,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Baulkham Hills 2017 w. sol.pdf
79,0b61b7495d,1611,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2017-2U-Baulkham-Hills-Trials-with-Solutions.pdf
80,53e0faa132,1607,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/St Catherines 2016 w. sol.pdf
80,53e0faa132,1607,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2016_4U_-_St_Catherines_Trial_with_solutions.pdf
